// user:DESKTOP-0HM15HR_628165; date:2020-10-14 12:06:00.623; sample:8192; 
time[ms]; amplitude[g]; 
50.842; -0.30024; 
50.903; -0.34678; 
50.964; -0.41997; 
51.025; -0.43827; 
51.086; -0.45519; 
51.147; -0.39817; 
51.208; -0.27514; 
51.27; -0.19552; 
51.331; -0.06301; 
51.392; -0.04202; 
51.453; -0.16788; 
51.514; -0.22674; 
51.575; -0.34668; 
51.636; -0.48027; 
51.697; -0.48213; 
51.758; -0.43551; 
51.819; -0.30755; 
51.88; -0.15208; 
51.941; -0.06658; 
52.002; -0.01456; 
52.063; 0.00055; 
52.124; -0.0058; 
52.185; -0.02564; 
52.246; -0.10041; 
52.307; -0.21484; 
52.368; -0.28474; 
52.429; -0.26936; 
52.49; -0.22607; 
52.551; -0.19548; 
52.612; -0.16269; 
52.673; -0.12161; 
52.734; -0.11536; 
52.795; -0.13086; 
52.856; -0.1152; 
52.917; -0.1311; 
52.979; -0.16031; 
53.04; -0.13215; 
53.101; -0.10083; 
53.162; -0.09179; 
53.223; -0.13012; 
53.284; -0.17588; 
53.345; -0.16237; 
53.406; -0.1367; 
53.467; -0.05329; 
53.528; 0.06528; 
53.589; 0.14483; 
53.65; 0.21934; 
53.711; 0.19321; 
53.772; 0.09115; 
53.833; -0.01167; 
53.894; -0.18248; 
53.955; -0.26812; 
54.016; -0.19884; 
54.077; -0.06795; 
54.138; 0.12842; 
54.199; 0.26887; 
54.26; 0.30257; 
54.321; 0.26932; 
54.382; 0.14289; 
54.443; 0.0158; 
54.504; -0.06473; 
54.565; -0.08785; 
54.626; -0.01801; 
54.688; 0.07921; 
54.749; 0.21253; 
54.81; 0.36877; 
54.871; 0.45161; 
54.932; 0.46933; 
54.993; 0.44505; 
55.054; 0.38971; 
55.115; 0.27964; 
55.176; 0.10376; 
55.237; -0.0193; 
55.298; -0.04338; 
55.359; -0.01015; 
55.42; 0.06972; 
55.481; 0.14698; 
55.542; 0.19046; 
55.603; 0.22833; 
55.664; 0.27254; 
55.725; 0.29235; 
55.786; 0.28127; 
55.847; 0.24978; 
55.908; 0.15175; 
55.969; 0.01577; 
56.03; -0.05732; 
56.091; -0.06542; 
56.152; -0.05828; 
56.213; -0.05694; 
56.274; -0.04052; 
56.335; -0.00293; 
56.396; 0.01974; 
56.458; 0.00857; 
56.519; -0.02654; 
56.58; -0.0572; 
56.641; -0.1095; 
56.702; -0.18428; 
56.763; -0.22412; 
56.824; -0.23552; 
56.885; -0.16722; 
56.946; -0.02808; 
57.007; 0.05558; 
57.068; 0.07496; 
57.129; 0.05266; 
57.19; 0.04811; 
57.251; 0.06846; 
57.312; 0.01244; 
57.373; -0.07111; 
57.434; -0.12651; 
57.495; -0.17782; 
57.556; -0.23994; 
57.617; -0.31806; 
57.678; -0.35117; 
57.739; -0.32591; 
57.8; -0.25785; 
57.861; -0.16013; 
57.922; -0.09065; 
57.983; -0.06015; 
58.044; -0.0583; 
58.105; -0.09082; 
58.167; -0.185; 
58.228; -0.3007; 
58.289; -0.35051; 
58.35; -0.33927; 
58.411; -0.24116; 
58.472; -0.10636; 
58.533; -0.05249; 
58.594; -0.02268; 
58.655; 0.01455; 
58.716; 0.04031; 
58.777; 0.01936; 
58.838; -0.14193; 
58.899; -0.33193; 
