,Nombre,diagnostico,Id_Estado_Activo,time,machine
1052,S4-Ventilador 76 M1," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de los rodamientos del ventilador.",3.0,2019-12-03,S4-76-M1
303,S1-Ventilador M42," Motor: Activo en buen estado. 
 Ventilador: Se mantienen las amplitudes de las medidas en aceleración asociadas a una degradación de rodamientos.",2.0,2019-12-03,S1-M42
215,S1-Ventilador M29," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado. Se mantiene el comportamiento de pasadas inspecciones posiblemente asociado a una amplificación estructural",1.0,2019-12-03,S1-M29
1014,S4-Ventilador 78 M1," Motor: Activo en buen estado.
 Ventilador:  Se mantienen lo síntomas de una posible degradación de las condiciones mecánicas en un estado inicial. ",2.0,2019-12-03,S4-78-M1
772,S1-Ventilador M20," Motor: Activo en buen estado. 
 Ventilador: Se mantienen las amplitudes de las medidas en aceleración asociadas a una degradación de rodamientos.",2.0,2019-12-03,S1-M20
803,S1-Ventilador M9," Motor: Activo en buen estado.
 Ventilador: Se mantienen los síntomas de una posible degradación del rodamiento lado opuesto a polea.",2.0,2019-12-03,S1-M09
565,S3-Ventilador M27, Ventilador: Se detectan síntomas de una posible degradación de rodamientos.,3.0,2019-12-03,S3-M27
968,S5-Ventilador 71 M1," Motor: Activo en buen estado.
 Ventilador: Se detectan síntomas de una posible degradación de rodamientos, especialmente en el lado polea. Existe una mejoría del comportamiento posiblemente asociada a las condiciones de RPM en el momento de la medida.",2.0,2019-12-03,S5-71-M1
226,S1-Ventilador M30," Motor: Activo en buen estado. 
 Ventilador: Se mantienen las amplitudes de las medidas en aceleración asociadas a una degradación de rodamientos.",2.0,2019-12-03,S1-M30
79,S2-Ventilador M24," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. Se mantiene el comportamiento de pasadas inspecciones.",1.0,2019-12-03,S2-M24
275,S1-Ventilador M38," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado.  Se mantienen los niveles por encima de la normalidad posiblemente motivado a una condición de amplificación estructural.",1.0,2019-12-03,S1-M38
1059,S4-Ventilador 76 M2," Motor: Activo en buen estado.
 Ventilador: Se mantienen los síntomas de una posible degradación incipiente en el rodamiento lado polea.",2.0,2019-12-03,S4-76-M2
185,S1-Ventilador M24," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2019-12-03,S1-M24
1045,S4-Ventilador 77 M2," Motor: Activo en buen estado. 
 Ventilador: Ventilador: El comportamiento se mantiene estable respecto a anteriores inspecciones, posiblemente asociado a una amplificación estructural.",1.0,2019-12-03,S4-77-M2
960,S5-Ventilador 72 M1, Ventilador: Se detecta una mejoría del comportamiento de las medidas en mm/s posiblemente asociadas a las condiciones de RPM. Las medidas en aceleración mantienen los síntomas de una posible degradación de rodamientos.,2.0,2019-12-03,S5-72-M1
980,S4-Ventilador 71 M2,"  Motor: Se detectan síntomas de una degradación avanzada de rodamientos.
  Ventilador: Activo en buen estado.",3.0,2019-12-03,S4-71-M2
1053,S4-Ventilador 76 M1," Motor: Activo en buen estado.
 Ventilador: Se mantienen los síntomas de una posible degradación de los rodamientos del ventilador.",3.0,2020-02-10,S4-76-M1
186,S1-Ventilador M24," Motor: Activo en buen estado.
 Ventilador: Activo en buen estado.",1.0,2020-02-10,S1-M24
146,S2-Ventilador M36," Motor: Activo en buen estado. 
 Ventilador: Activo en buen estado. Se mantiene el comportamiento de pasadas inspecciones.",1.0,2020-02-10,S2-M36
