machine,point,time,num_peaks,a_range,b_range,c_range,d_range,e_range,f_range,g_range,h_range,i_range,j_range
S4-73-M2,V-LOA-V,2019-10-15 17:03:09.546,5.0,0.0,0.0,0.0,0.43256,0.0,0.20409,0.0,0.0,0.0,0.0
S4-73-M2,V-LOA-V,2020-10-13 16:04:27.481,6.0,0.08409,0.0,0.0,0.28808,0.0,0.28339000000000003,0.12529,0.0,0.0,0.0
S4-73-M2,V-LOA-V,2021-04-07 10:03:28.184,5.0,0.22521000000000002,0.0,0.0,0.28732,0.0,0.11056,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2019-11-26 17:17:19.110,2.0,0.0,0.0,0.16278,0.08988,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2019-07-16 11:59:37.545,2.0,0.0,0.0,0.30594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2020-10-14 08:19:47.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2020-02-11 12:20:02.265,2.0,0.0,0.0,0.39014000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2020-04-28 16:39:14.227,1.0,0.0,0.0,0.31091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2020-07-09 10:42:38.304,1.0,0.0,0.0,0.22062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S3-M11,M-LA-V,2021-04-06 10:54:07.822,1.0,0.0,0.0,0.09007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-A,2019-07-16 10:57:32.546,1.0,0.08102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-A,2020-10-14 11:59:37.133,3.0,0.13516,0.0,0.20984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-A,2020-02-11 09:53:44.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-A,2020-04-28 10:39:04.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-A,2020-07-09 08:59:21.434,1.0,0.14327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-A,2021-04-06 16:45:52.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-H,2019-07-16 10:57:00.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1-M40,M-LA-H,2020-10-14 11:59:16.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
