// user:DESKTOP-0HM15HR_628165; date:2020-02-11 10:02:56.433; sample:8192; 
time[ms]; amplitude[g]; 
62.317; -0.23763; 
62.378; -0.16347; 
62.439; -0.05588; 
62.5; 0.06513; 
62.561; 0.18337; 
62.622; 0.26927; 
62.683; 0.34213; 
62.744; 0.39405; 
62.805; 0.4192; 
62.866; 0.43056; 
62.927; 0.42156; 
62.988; 0.4332; 
63.049; 0.45324; 
63.11; 0.43272; 
63.171; 0.39682; 
63.232; 0.33031; 
63.293; 0.25025; 
63.354; 0.19195; 
63.416; 0.12364; 
63.477; 0.07643; 
63.538; 0.02175; 
63.599; -0.05499; 
63.66; -0.06432; 
63.721; -0.04942; 
63.782; -0.03101; 
63.843; 0.00743; 
63.904; 0.0353; 
63.965; 0.08192; 
64.026; 0.06836; 
64.087; -0.04262; 
64.148; -0.16334; 
64.209; -0.27431; 
64.27; -0.35751; 
64.331; -0.44962; 
64.392; -0.50571; 
64.453; -0.46241; 
64.514; -0.44701; 
64.575; -0.43651; 
64.636; -0.39672; 
64.697; -0.41924; 
64.758; -0.47007; 
64.819; -0.52456; 
64.88; -0.57217; 
64.941; -0.63197; 
65.002; -0.68969; 
65.063; -0.64515; 
65.125; -0.57814; 
65.186; -0.52571; 
65.247; -0.42642; 
65.308; -0.32181; 
65.369; -0.22194; 
65.43; -0.16686; 
65.491; -0.16765; 
65.552; -0.19461; 
65.613; -0.24738; 
65.674; -0.26304; 
65.735; -0.28864; 
65.796; -0.33716; 
65.857; -0.30909; 
65.918; -0.2672; 
65.979; -0.25451; 
66.04; -0.24505; 
66.101; -0.23263; 
66.162; -0.22061; 
66.223; -0.28131; 
66.284; -0.36604; 
66.345; -0.40933; 
66.406; -0.46599; 
66.467; -0.50269; 
66.528; -0.48601; 
66.589; -0.41026; 
66.65; -0.28593; 
66.711; -0.19519; 
66.772; -0.13947; 
66.833; -0.13957; 
66.895; -0.25181; 
66.956; -0.4115; 
67.017; -0.56078; 
67.078; -0.68131; 
67.139; -0.77075; 
67.2; -0.81093; 
67.261; -0.72937; 
67.322; -0.57277; 
67.383; -0.44644; 
67.444; -0.35413; 
67.505; -0.27797; 
67.566; -0.21674; 
67.627; -0.21356; 
67.688; -0.29251; 
67.749; -0.38319; 
67.81; -0.43274; 
67.871; -0.44353; 
67.932; -0.47052; 
67.993; -0.5377; 
68.054; -0.55329; 
68.115; -0.49647; 
68.176; -0.43441; 
68.237; -0.39676; 
68.298; -0.39693; 
68.359; -0.39867; 
68.42; -0.3757; 
68.481; -0.35054; 
68.542; -0.33535; 
